title,rating,room_type,price
Townhouse 840 Hotel Geeson,2.5,Classic Triple Room,592
Hotel Aerocity Purple Orchid,7.8,Deluxe Double Room,1495
Peepal Tree Residency,8.5,Standard King Room,2750
Minimalist Poshtel & Suites,7.7,Twin Room with Balcony,3600
Hotel Fabulous - Delhi International Airport,8.3,Small Double Room,1335
Hotel Tashkent Palace - Budget Friendly,7.6,Budget Double Room,932
Venizia Sarovar Portico,6.7,Superior Double Room,2699
"Diplomat, Chanakyapuri New Delhi- A Boutique Hotel",6.9,Double or Twin Room,7989
Hotel Hari Piorko,7.8,Deluxe Double Room,1960
Bloomrooms @ Link Road,8.0,Standard Queen Room,4600
Hotel Glow Inn-3 Mins Walking From NDLS,7.4,Standard Double Room with Fan,999
OYO Townhouse 023 CR Park,2.6,Classic Triple Room,1765
FabHotel Marble Arch - Fully Vaccinated Staff,8.0,Deluxe Room,2057
The Gold Regency - Paharganj,7.4,Deluxe Room,3279
The Mohit Guest House -A Well Hygiene Property,7.9,Standard Double Room,1516
Hotel Delhi 37 Near - Delhi Airport,8.5,Classic Double Room,2400
Staybook-Jyoti Mahal A Heritage Hotel,7.3,Standard Double Room,2079
The Oak New Delhi,7.9,Deluxe Double Room,3541
Hotel Almati Inn at Delhi Airport,6.9,Deluxe Double or Twin Room,3000
Hotel Urban Tree,8.6,Small Double Room,1012
Hotel Metro View,4.7,Deluxe Double or Twin Room,2250
Hotel De Tark Near IGI Airport,7.6,Deluxe Double Room,753
Hotel Venus Plaza- Near Delhi Airport,8.6,Deluxe Room,2016
The Park New Delhi,5.8,Luxury Room with breakfast ,7799
Bloomrooms @ New Delhi Railway Station,8.1,Value Queen Room,3700
Hotel Airlift INN at Delhi Airport,8.7,Small Double Room,1246
Hindustan- by Backpackers Heaven,7.8,Deluxe Double Room,1453
The Singh Empire,7.7,Deluxe Double or Twin Room,2549
Park Inn by Radisson New Delhi IP Extension,7.0,Superior Double or Twin Room,4400
"The Connaught, New Delhi- IHCL SeleQtions",8.7,Superior Room City View King Bed,11000
Amax Inn,7.0,Deluxe Double Room,1186
Hotel Saya Deluxe ''Couple Friendly '',7.6,Deluxe Room,1247
Hotel Cottage Yes Please Near New Delhi Railway Station,8.1,Deluxe Double Room,2800
Silver Shine New Delhi - COMFORT STAY,8.4,Standard Double Room,1600
"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel",8.2, Superior Double or Twin Room with 1+1 Offer on select alcoholic beverages at Infinity between 11:00 hours to 19:00 hours,6279
Hotel Grand Olive Near Delhi Airport,6.8,Deluxe Double Room (2 Adults + 1 Child),1525
Home@F37 Kailash Colony Metro,8.2,Super Deluxe Double Room,3500
Hotel Jukaso Inn Down Town - A Couple Friendly Hotel,6.9,Deluxe Double Room,5700
Hotel Sky Wood At Airport,8.7,Superior Double Room,959
Hotel Shanti Plaza,7.6,Executive Double or Twin Room,1935
Hotel International Inn Near New Delhi Railway Station,7.8,Standard Double Room,1295
Batra Holiday Home - Couple Friendly Stays,6.8,Budget Double Room,1124
OYO 90654 Hotel Grand Luxury,5.5,Classic Triple Room,501
Hotel Sky Rich International Karol Bagh - Fully Vaccinated Staff,7.6,Deluxe Room,2569
Hotel Royal Grand,7.1,Deluxe Room,2025
Hotel Ark Suites At Airport,8.5,Deluxe Double Room,959
Anara Service Apartments - Greater Kailash Part II,8.4,Studio with Balcony,4600
"The Ashok, New Delhi",6.6,Standard Double Room - 15% Discount on Food & Soft Beverages,8500
Hotel Nirmal Mahal 5 min walk From New Delhi Railway Station,7.2,Deluxe Double Room,1739
FabHotel Jasmine Boutique Jasola - Fully Vaccinated Staff,7.9,(Sanitised) Deluxe Room,2985
The Umrao,6.9,Deluxe Double or Twin Room,8100
Hotel Om Paradise,7.0,Deluxe Double Room,647
Radisson Blu Marina Hotel Connaught Place,6.7,Superior Double Room,8500
The Suryaa New Delhi,7.4,Deluxe Room with 10% Discount on Food & Beverage,12333
The Lohmod - Boutique Hotel At Delhi Airport,7.5,Deluxe Double Room,2970
Zenith Hotel - Delhi Airport,7.8,Standard Double Room,1800
"The Imperial, New Delhi",9.0,Imperial Double or Twin Room,27000
FabHotel La Paz Stay B&B,7.7,Deluxe Room,2921
"HOTEL UPPAL INTERNATIONAL ""More than just a Hotel""",7.3,Deluxe Double Room,1802
The Leela Ambience Convention Hotel Delhi,8.4,Deluxe Room with Bathtub,6999
Hotel Admire Gold - Pachim Vihar Delhi,8.2,Standard Double Room,1529
"Hotel Samrat, New Delhi",4.9,Deluxe Double Room,7199
Hotel Raj Villa New Delhi Railway station,7.5,Deluxe Double Room,1559
The Orion Plaza - Nehru Place,7.2,Deluxe Double or Twin Room,3899
Hotel Mannat international by Mannat,8.7,Deluxe King Room,1760
